group	nspecies	nclust	seeds
all	100002	53378	10614
all	100002	53601	1565367
all	100002	53315	15761
all	100002	53482	23103
all	100002	53524	29901
all	100002	53420	30363
all	100002	53386	5525
all	100002	53323	61733
all	100002	53382	7830
all	100002	53488	9390
all	10002	7936	10614
all	10002	7964	1565367
all	10002	7850	15761
all	10002	7913	23103
all	10002	7978	29901
all	10002	7902	30363
all	10002	7888	5525
all	10002	7927	61733
all	10002	7898	7830
all	10002	7858	9390
all	1002	934	10614
all	1002	936	1565367
all	1002	925	15761
all	1002	945	23103
all	1002	946	29901
all	1002	939	30363
all	1002	932	5525
all	1002	930	61733
all	1002	948	7830
all	1002	931	9390
all	101002	53794	10614
all	101002	54006	1565367
all	101002	53710	15761
all	101002	53883	23103
all	101002	53915	29901
all	101002	53822	30363
all	101002	53789	5525
all	101002	53741	61733
all	101002	53791	7830
all	101002	53863	9390
all	102002	54183	10614
all	102002	54386	1565367
all	102002	54127	15761
all	102002	54293	23103
all	102002	54305	29901
all	102002	54222	30363
all	102002	54167	5525
all	102002	54145	61733
all	102002	54202	7830
all	102002	54259	9390
all	103002	54574	10614
all	103002	54766	1565367
all	103002	54515	15761
all	103002	54681	23103
all	103002	54730	29901
all	103002	54615	30363
all	103002	54556	5525
all	103002	54543	61733
all	103002	54596	7830
all	103002	54655	9390
all	104002	54981	10614
all	104002	55167	1565367
all	104002	54910	15761
all	104002	55078	23103
all	104002	55126	29901
all	104002	55005	30363
all	104002	54961	5525
all	104002	54950	61733
all	104002	54987	7830
all	104002	55066	9390
all	105002	55362	10614
all	105002	55540	1565367
all	105002	55303	15761
all	105002	55473	23103
all	105002	55555	29901
all	105002	55406	30363
all	105002	55370	5525
all	105002	55362	61733
all	105002	55389	7830
all	105002	55488	9390
all	106002	55741	10614
all	106002	55923	1565367
all	106002	55692	15761
all	106002	55871	23103
all	106002	55941	29901
all	106002	55787	30363
all	106002	55753	5525
all	106002	55755	61733
all	106002	55774	7830
all	106002	55838	9390
all	107002	56129	10614
all	107002	56308	1565367
all	107002	56064	15761
all	107002	56240	23103
all	107002	56323	29901
all	107002	56193	30363
all	107002	56131	5525
all	107002	56154	61733
all	107002	56172	7830
all	107002	56201	9390
all	108002	56495	10614
all	108002	56693	1565367
all	108002	56449	15761
all	108002	56615	23103
all	108002	56695	29901
all	108002	56582	30363
all	108002	56527	5525
all	108002	56547	61733
all	108002	56571	7830
all	108002	56580	9390
all	109002	56888	10614
all	109002	57076	1565367
all	109002	56840	15761
all	109002	56983	23103
all	109002	57084	29901
all	109002	56977	30363
all	109002	56920	5525
all	109002	56916	61733
all	109002	56957	7830
all	109002	56953	9390
all	110002	57264	10614
all	110002	57454	1565367
all	110002	57218	15761
all	110002	57369	23103
all	110002	57439	29901
all	110002	57380	30363
all	110002	57307	5525
all	110002	57304	61733
all	110002	57348	7830
all	110002	57333	9390
all	11002	8611	10614
all	11002	8661	1565367
all	11002	8545	15761
all	11002	8610	23103
all	11002	8687	29901
all	11002	8584	30363
all	11002	8568	5525
all	11002	8632	61733
all	11002	8589	7830
all	11002	8564	9390
all	111002	57635	10614
all	111002	57829	1565367
all	111002	57610	15761
all	111002	57749	23103
all	111002	57812	29901
all	111002	57757	30363
all	111002	57700	5525
all	111002	57697	61733
all	111002	57728	7830
all	111002	57709	9390
all	112002	58025	10614
all	112002	58216	1565367
all	112002	58006	15761
all	112002	58110	23103
all	112002	58170	29901
all	112002	58105	30363
all	112002	58078	5525
all	112002	58068	61733
all	112002	58105	7830
all	112002	58095	9390
all	113002	58418	10614
all	113002	58599	1565367
all	113002	58401	15761
all	113002	58494	23103
all	113002	58563	29901
all	113002	58486	30363
all	113002	58461	5525
all	113002	58446	61733
all	113002	58486	7830
all	113002	58455	9390
all	114002	58787	10614
all	114002	58961	1565367
all	114002	58761	15761
all	114002	58874	23103
all	114002	58938	29901
all	114002	58880	30363
all	114002	58826	5525
all	114002	58846	61733
all	114002	58895	7830
all	114002	58819	9390
all	115002	59189	10614
all	115002	59306	1565367
all	115002	59121	15761
all	115002	59258	23103
all	115002	59282	29901
all	115002	59214	30363
all	115002	59201	5525
all	115002	59222	61733
all	115002	59278	7830
all	115002	59220	9390
all	116002	59575	10614
all	116002	59678	1565367
all	116002	59484	15761
all	116002	59630	23103
all	116002	59636	29901
all	116002	59577	30363
all	116002	59581	5525
all	116002	59574	61733
all	116002	59661	7830
all	116002	59605	9390
all	117002	59963	10614
all	117002	60041	1565367
all	117002	59871	15761
all	117002	59992	23103
all	117002	60030	29901
all	117002	59948	30363
all	117002	59973	5525
all	117002	59929	61733
all	117002	60045	7830
all	117002	59987	9390
all	118002	60320	10614
all	118002	60418	1565367
all	118002	60240	15761
all	118002	60365	23103
all	118002	60388	29901
all	118002	60326	30363
all	118002	60344	5525
all	118002	60327	61733
all	118002	60416	7830
all	118002	60344	9390
all	119002	60685	10614
all	119002	60823	1565367
all	119002	60610	15761
all	119002	60721	23103
all	119002	60733	29901
all	119002	60676	30363
all	119002	60717	5525
all	119002	60707	61733
all	119002	60801	7830
all	119002	60688	9390
all	120002	61071	10614
all	120002	61195	1565367
all	120002	60988	15761
all	120002	61094	23103
all	120002	61092	29901
all	120002	61047	30363
all	120002	61081	5525
all	120002	61097	61733
all	120002	61173	7830
all	120002	61067	9390
all	12002	9287	10614
all	12002	9332	1565367
all	12002	9226	15761
all	12002	9303	23103
all	12002	9358	29901
all	12002	9271	30363
all	12002	9252	5525
all	12002	9310	61733
all	12002	9280	7830
all	12002	9239	9390
all	121002	61446	10614
all	121002	61566	1565367
all	121002	61370	15761
all	121002	61470	23103
all	121002	61468	29901
all	121002	61405	30363
all	121002	61440	5525
all	121002	61431	61733
