DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	Host type
COLOR	#ff0000
FIELD_COLORS	#c51b7d	#4d9221
FIELD_LABELS	Eukaryotes  Virus	Prokaryotes Virus
DASHED_LINES	1

MARGIN	25
HEIGHT_FACTOR	2
WIDTH	75

DATA
OAPGCV000989	0	100
OAPGCV064568	0	100
OAPGCV045081	0	100
OAPGCV027347	0	100
OAPGCV064282	0	100
OAPGCV039639	0	100
OAPGCV062585	0	100
OAPGCV042661	0	100
OAPGCV061745	0	100
OAPGCV007447	0	100
OAPGCV055169	0	100
OAPGCV037908	0	100
OAPGCV061185	0	100
OAPGCV044902	0	100
OAPGCV045797	0	100
OAPGCV045182	0	100
OAPGCV031500	0	100
OAPGCV067966	0	100
OAPGCV067939	0	100
OAPGCV037198	0	100
OAPGCV044908	0	100
OAPGCV060156	0	100
OAPGCV059107	0	100
OAPGCV017814	0	100
OAPGCV000364	0	100
OAPGCV061254	0	100
OAPGCV041227	0	100
OAPGCV062394	0	100
OAPGCV059039	0	100
OAPGCV058978	0	100
OAPGCV044979	0	100
OAPGCV029562	0	100
OAPGCV037051	0	100
OAPGCV055728	0	100
OAPGCV036909	0	100
OAPGCV030131	0	100
OAPGCV049270	0	100
OAPGCV050782	0	100
OAPGCV057333	0	100
OAPGCV062398	0	100
OAPGCV028872	0	100
OAPGCV033182	0	100
OAPGCV032027	0	100
OAPGCV031125	0	100
OAPGCV040350	0	100
OAPGCV058096	0	100
OAPGCV059984	0	100
OAPGCV045935	0	100
OAPGCV029525	0	100
OAPGCV031825	0	100
OAPGCV031679	0	100
OAPGCV032829	0	100
OAPGCV019185	0	100
OAPGCV002351	0	100
OAPGCV045714	0	100
OAPGCV030396	0	100
OAPGCV053455	0	100
OAPGCV037298	0	100
OAPGCV017785	0	100
OAPGCV045529	0	100
OAPGCV045065	0	100
OAPGCV044960	0	100
OAPGCV058943	0	100
OAPGCV048734	0	100
OAPGCV061873	0	100
OAPGCV031105	0	100
OAPGCV029980	0	100
OAPGCV045544	0	100
OAPGCV029888	0	100
OAPGCV045675	0	100
OAPGCV049211	0	100
OAPGCV015180	0	100
OAPGCV067972	0	100
OAPGCV062379	0	100
OAPGCV031927	0	100
OAPGCV037991	0	100
OAPGCV058301	0	100
OAPGCV044963	0	100
OAPGCV031765	0	100
OAPGCV067993	0	100
OAPGCV031001	0	100
OAPGCV055405	0	100
OAPGCV045938	0	100
OAPGCV063165	0	100
