DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	lifestyle
COLOR	#ff0000
FIELD_COLORS	#df5173	#27537c	#ccd3d3
FIELD_LABELS	Temperate	Virulent	unclassified

DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2

DATA
OAPGCV000989	96.55172414	0	3.448275862
OAPGCV064568	32.19814241	20.43343653	47.36842105
OAPGCV045081	79.32489451	11.81434599	8.860759494
OAPGCV027347	33.33333333	12.96296296	53.7037037
OAPGCV064282	33.33333333	0	66.66666667
OAPGCV039639	4.109589041	54.79452055	41.09589041
OAPGCV062585	60.64516129	11.61290323	27.74193548
OAPGCV042661	55.85106383	6.382978723	37.76595745
OAPGCV061745	83.26693227	3.585657371	13.14741036
OAPGCV007447	60.69518717	24.86631016	14.43850267
OAPGCV055169	91.44385027	3.20855615	5.347593583
OAPGCV037908	0	100	0
OAPGCV061185	100	0	0
OAPGCV044902	80	10	10
OAPGCV045797	26.02739726	34.24657534	39.7260274
OAPGCV045182	80	20	0
OAPGCV031500	0	50	50
OAPGCV067966	100	0	0
OAPGCV067939	0	0	100
OAPGCV037198	100	0	0
OAPGCV044908	6.445672192	44.93554328	48.61878453
OAPGCV060156	10.45045045	2.882882883	86.66666667
OAPGCV059107	0	0	100
OAPGCV017814	9.090909091	36.36363636	54.54545455
OAPGCV000364	100	0	0
OAPGCV061254	100	0	0
OAPGCV041227	44	14	42
OAPGCV062394	50	50	0
OAPGCV059039	100	0	0
OAPGCV058978	100	0	0
OAPGCV044979	0	100	0
OAPGCV029562	0	0	100
OAPGCV037051	0	0	100
OAPGCV055728	15.59633028	49.08256881	35.32110092
OAPGCV036909	91.17647059	0	8.823529412
OAPGCV030131	78.57142857	14.28571429	7.142857143
OAPGCV049270	50	50	0
OAPGCV050782	100	0	0
OAPGCV057333	87.5	0	12.5
OAPGCV062398	50	50	0
OAPGCV028872	0	100	0
OAPGCV033182	100	0	0
OAPGCV032027	100	0	0
OAPGCV031125	100	0	0
OAPGCV040350	0	0	100
OAPGCV058096	88.23529412	5.882352941	5.882352941
OAPGCV059984	50	50	0
OAPGCV045935	0	100	0
OAPGCV029525	66.66666667	0	33.33333333
OAPGCV031825	60	40	0
OAPGCV031679	100	0	0
OAPGCV032829	70	30	0
OAPGCV019185	85.4368932	7.766990291	6.796116505
OAPGCV002351	80.92691622	14.79500891	4.278074866
OAPGCV045714	40	50	10
OAPGCV030396	86.66666667	13.33333333	0
OAPGCV053455	83.63636364	11.81818182	4.545454545
OAPGCV037298	100	0	0
OAPGCV017785	100	0	0
OAPGCV045529	88.81355932	6.271186441	4.915254237
OAPGCV045065	82.60869565	0	17.39130435
OAPGCV044960	42.10526316	31.57894737	26.31578947
OAPGCV058943	28.57142857	57.14285714	14.28571429
OAPGCV048734	66.66666667	33.33333333	0
OAPGCV061873	100	0	0
OAPGCV031105	100	0	0
OAPGCV029980	87.5	0	12.5
OAPGCV045544	100	0	0
OAPGCV029888	44.44444444	44.44444444	11.11111111
OAPGCV045675	0	100	0
OAPGCV049211	71.42857143	14.28571429	14.28571429
OAPGCV015180	50	0	50
OAPGCV067972	0	100	0
OAPGCV062379	100	0	0
OAPGCV031927	40	20	40
OAPGCV037991	64.70588235	11.76470588	23.52941176
OAPGCV058301	100	0	0
OAPGCV044963	0	100	0
OAPGCV031765	100	0	0
OAPGCV067993	100	0	0
OAPGCV031001	0	100	0
OAPGCV055405	100	0	0
OAPGCV045938	100	0	0
OAPGCV063165	100	0	0
OAPGCV039311	33.33333333	16.66666667	50
OAPGCV045325	50	0	50
OAPGCV067967	33.33333333	66.66666667	0
OAPGCV045329	83.33333333	16.66666667	0
OAPGCV032049	100	0	0
OAPGCV030185	100	0	0
OAPGCV048516	100	0	0
OAPGCV048730	100	0	0
OAPGCV033729	0	84.96240602	15.03759398
OAPGCV068396	100	0	0
OAPGCV058611	0	100	0
OAPGCV067964	100	0	0
OAPGCV004489	0	92.46575342	7.534246575
OAPGCV047667	0	92.10526316	7.894736842
OAPGCV024022	0	88.73239437	11.26760563
OAPGCV058902	100	0	0
OAPGCV029375	0	87.77777778	12.22222222
OAPGCV062404	100	0	0
OAPGCV012702	0	94.82097187	5.179028133
OAPGCV013362	0	77.77777778	22.22222222
OAPGCV031652	0	97.95918367	2.040816327
OAPGCV022650	0	93.6	6.4
OAPGCV056837	0	100	0
OAPGCV047693	0	80.95238095	19.04761905
OAPGCV068276	0	97.14285714	2.857142857
