DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	host-phylum
COLOR	#ff0000

FIELD_COLORS	#8dd3c7	#a6cee3	#1f78b4	#b2df8a	#33a02c	#fb9a99	#e31a1c	#fdbf6f	#d9d9d9	#ff7f00	#cab2d6	#6a3d9a	#ffff99	#b15928	#575d63
FIELD_LABELS	Actinomycetota	Bacillota	Bacillota_A	Bacillota_B	Bacillota_C	Bacillota_I	Bacteroidota	Campylobacterota	other	Fusobacteriota	Patescibacteria	Pseudomonadota	Spirochaetota	Synergistota	multiple



DASHED_LINES	1
HEIGHT_FACTOR	2
WIDTH	75
MARGIN	25


DATA
OAPGCV000989	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
OAPGCV064568	0	0	0	0	0	0.309597523	86.37770898	0	0	0	0	0	0	0	8.359133127
OAPGCV045081	0	0	0	0	0	0	94.93670886	0	0	0	0	0	0	0	0
OAPGCV027347	0	0	0	0	0	0	98.14814815	0	0	0	0	0	0	0	0
OAPGCV064282	0	0	0	0	0	0	33.33333333	0	0	0	0	0	0	0	0
OAPGCV039639	0	0	0	0	0	6.849315068	70.54794521	0	0	0	0	0	0	0	3.424657534
OAPGCV062585	0	0	0	0	0	0	33.5483871	0	0	0	0	0	0	0	0
OAPGCV042661	0	0	0	0	0	0.531914894	69.68085106	0	0	0	0	0	0	0	0.531914894
OAPGCV061745	0	0	0	0	0	0	92.82868526	0	0	0	0	0	0	0	0
OAPGCV007447	0	0.267379679	0	0	0	0	50.80213904	0	0	0	0	0	0	0	0.534759358
OAPGCV055169	0	0	0	0	0	0	87.1657754	0	0	0	0	0	0	0	6.417112299
OAPGCV061185	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV044902	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
OAPGCV045797	0	0	1.369863014	0	28.76712329	0	0	0	0	0	0	0	0	0	1.369863014
OAPGCV067966	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV037198	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV044908	0	0	0	0	0	0	0	0	0	0	0	81.95211786	0	0	0
OAPGCV060156	0	0	0	0	0	0	0	0	0	0	0	93.87387387	0	0	0
OAPGCV017814	0	0	54.54545455	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV000364	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV041227	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0
OAPGCV062394	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
OAPGCV059039	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV037051	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV055728	0	0	0	0	0	0.917431193	83.02752294	0	0	0	0	0	0	0	1.834862385
OAPGCV036909	50	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OAPGCV030131	0	0	0	0	0	0	0	0	0	0	0	42.85714286	0	0	0
OAPGCV049270	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
OAPGCV050782	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
OAPGCV057333	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
OAPGCV031125	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV040350	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV058096	0	0	0	0	0	0	0	0	0	0	0	76.47058824	0	0	0
OAPGCV045935	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV029525	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV031825	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0
OAPGCV031679	0	0	0	0	0	0	0	0	0	0	0	85.71428571	0	0	0
OAPGCV032829	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0
OAPGCV019185	0	0	0	0	0	0	0	0	0	0	0	96.11650485	0	0	0
OAPGCV002351	0	0.534759358	0	0	0	0	0	2.852049911	0	0	0	94.11764706	0	0	0.356506239
OAPGCV045714	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0
OAPGCV030396	0	0	0	0	0	0	0	0	0	0	0	46.66666667	0	0	0
OAPGCV053455	0	0	0	0	0	0	0	0	0	0	0	96.36363636	0	0	0
OAPGCV037298	0	0	0	0	0	0	0	0	0	0	0	83.33333333	0	0	0
OAPGCV017785	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0
OAPGCV045529	0.338983051	0	0	0	0	0	0	0	0	0	0	95.76271186	0	0	3.389830508
OAPGCV045065	0	4.347826087	0	0	0	0	0	0	0	0	0	30.43478261	0	0	4.347826087
OAPGCV044960	0	0	0	0	0	0	0	0	0	0	0	10.52631579	0	0	0
OAPGCV058943	0	0	0	0	0	0	0	0	0	0	0	42.85714286	0	0	0
OAPGCV048734	0	0	0	0	0	0	0	0	0	0	0	66.66666667	0	0	0
OAPGCV031105	0	0	0	0	0	0	0	0	0	0	0	35.29411765	0	0	0
OAPGCV029980	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0
OAPGCV029888	0	0	0	0	0	0	0	0	0	0	0	44.44444444	0	0	0
OAPGCV045675	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV049211	0	0	0	0	0	0	0	0	0	0	0	85.71428571	0	0	0
OAPGCV015180	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV062379	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV031927	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
OAPGCV037991	0	0	0	0	0	0	0	0	0	0	0	47.05882353	0	0	17.64705882
OAPGCV058301	0	0	0	0	0	0	0	0	0	0	0	68.75	0	0	0
OAPGCV044963	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV045938	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV039311	0	0	0	0	0	0	0	0	0	0	0	33.33333333	0	0	0
OAPGCV045325	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
OAPGCV067967	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
OAPGCV045329	0	0	0	0	0	0	0	0	0	0	0	33.33333333	0	0	0
OAPGCV030185	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
OAPGCV033729	0	0	0	0	0	0	0	0	0	0	0	78.19548872	0	0	0
OAPGCV068396	46.15384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV004489	0	0	0	0	0	0	0	0	0	0	0	8.904109589	0	0	0
OAPGCV047667	0	0	0	0	0	0	0	0	0	0	0	78.94736842	0	0	0
OAPGCV024022	0	0	0	0	0	0	0	0	0	0	0	18.30985915	0	0	0
OAPGCV029375	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0
OAPGCV012702	39.00255754	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV031652	0	0	0	0	0	0	6.12244898	0	0	0	0	0	0	0	0
OAPGCV022650	0	0	0	0	0	0	60.8	0	0	0	0	0	0	0	0
OAPGCV047693	0	0	0	0	0	0	4.761904762	0	0	0	0	0	0	0	0
OAPGCV068276	2.857142857	0	0	0	0	65.71428571	0	0	0	0	0	0	0	0	0
OAPGCV018877	0	0	18.18181818	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV005142	0	0	0	0	0	0	9.259259259	0	0	0	0	0	0	0	0
OAPGCV004837	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
OAPGCV048500	0	0	0	0	0	0	51.72413793	0	0	0	0	0	0	0	0
OAPGCV003420	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058566	0	84.50704225	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV032461	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV030549	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV027839	0	0	0	0	83.56164384	0	0	0	0	0	0	0	0	0	0
OAPGCV011521	0	0	0.33557047	0	81.87919463	0	0.33557047	0	0	0	0	0	0	0	3.020134228
OAPGCV023746	67.30769231	2.884615385	0	0	0	0	0	0	0	0	0	0	0	0	15.38461538
OAPGCV018377	0	5.882352941	52.94117647	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV061275	0	0	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058065	72.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV062503	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV013575	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV006811	98.58267717	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157480315
OAPGCV064156	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV013752	83.96226415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV016201	97.30769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058467	85.71428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV059510	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV057522	77.11864407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV026892	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV003504	6.40569395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV025479	75.67567568	0	0	0	0	0	0	0	0	0	0	0	0	0	1.292596945
OAPGCV064992	11.71171171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV024176	84.61538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV016206	99.13043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV011376	78.49829352	0	0	0	0	0	0	0	0	0	0	0	0	0	14.67576792
OAPGCV017566	94.5368171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV045460	53.71428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV007582	76.49880096	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV050213	75.88235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV000006	3.921568627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV020718	30.34482759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058238	66.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV018929	88.88888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV065017	95.48387097	0	0	0	0	0	0	0	0	0	0	0	0	0	2.903225806
OAPGCV033854	42.81609195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV033773	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV055135	36.21262458	0	0	0	0	0	0	0	0	0	0	0	0	0	63.4551495
OAPGCV049775	70.10463378	0	0	0	0	0	0	0	0	0	0	0	0	0	28.99850523
OAPGCV015560	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV044970	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058709	93.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV050471	40.0862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV065648	42.85714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
