DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	host-family
COLOR	#ff0000


FIELD_COLORS	#8dd3c7	#a6cee3	#3f9fdf	#225ea8	#cb181d	#fdbf6f	#fcbba1	#e23739	#ff7f00	#d8edf9	#1f78b4	#33a02c	#edf8b1	#c7e9b4	#cab2d6	#e0d4e6	#eae4ed	#6a3d9a	#9e9ac8	#fb6a4a	#a3fff0	#deebf7	#63dd67	#ea6f71	#575d63	#d9d9d9
FIELD_LABELS	Actinomycetaceae	Aerococcaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Campylobacteraceae	Erysipelotrichaceae	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Lachnospiraceae	Megasphaeraceae	Micrococcaceae	Mycobacteriaceae	Nanogingivalaceae	Nanosynbacteraceae	Nanosyncoccaceae	Neisseriaceae	Pasteurellaceae	Porphyromonadaceae	Propionibacteriaceae	Streptococcaceae	Veillonellaceae	Weeksellaceae	multiple	other



DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2


DATA
OAPGCV000989	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV064568	0	0	0	0	86.37770898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.359133127	0.309597523
OAPGCV045081	0	0	0	0	0	0	0	81.01265823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5021097	0.421940928	0
OAPGCV027347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.2962963	1.851851852	0
OAPGCV064282	0	0	0	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV039639	0	0	0	0	70.54794521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.424657534	6.849315068
OAPGCV062585	0	0	0	0	33.5483871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV042661	0	0	0	0	45.21276596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.46808511	0	0	0	0	0.531914894	0.531914894
OAPGCV061745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.82868526	0	0	0	0	0	0
OAPGCV007447	0	0	0	0	22.72727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.07486631	0	0.267379679	0	0	0.534759358	0
OAPGCV055169	0	0	0	0	9.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.17112299	0	0	0	0	8.556149733	11.76470588
OAPGCV061185	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV044902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OAPGCV045797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.369863014	0	1.369863014	28.76712329
OAPGCV067966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV037198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV044908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.41252302	46.22467772	0	0	0	0	0	0.184162063	3.130755064
OAPGCV060156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.97297297	34.95495495	0	0	0	0	0	3.963963964	1.981981982
OAPGCV017814	0	0	0	0	0	0	0	0	0	0	54.54545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV000364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV041227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	4	0	0	0	0	0	0	42
OAPGCV062394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OAPGCV059039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV037051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV055728	0	0	0	0	62.3853211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.13761468	0	0	0	0	1.834862385	6.422018349
OAPGCV036909	44.11764706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.941176471	0	0	0	52.94117647	0
OAPGCV030131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.85714286
OAPGCV049270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OAPGCV050782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV057333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OAPGCV031125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV040350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV058096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.47058824
OAPGCV045935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV029525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV031825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
OAPGCV031679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.71428571	0	0	0	0	0	0	0
OAPGCV032829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0
OAPGCV019185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.41747573	0	0	0	0	0	0	2.427184466	24.27184466
OAPGCV002351	0	0	0	0	0	2.852049911	0	0	0	0	0	0	0	0	0	0	0	0	94.11764706	0	0	0.534759358	0	0	0.356506239	0
OAPGCV045714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
