"site"	"lifestyle"	"pval"	"cor"
"1"	"Oropharynx"	"Temperate"	5.4141564495753e-17	0.184048589309255
"2"	"Sputum"	"Temperate"	1.22648076886371e-53	0.407596665529279
"3"	"Dental plaque"	"Temperate"	5.71585927140248e-30	0.28211735867434
"4"	"Saliva"	"Temperate"	0.0306781319469192	0.033152284487975
"5"	"BALF"	"Temperate"	8.5461764880721e-38	0.418752359536238
"6"	"Tongue"	"Temperate"	0.865468205994314	-0.00618680052151651
"7"	"Oropharynx"	"Virulent"	4.76734387506328e-36	0.272507636050544
"8"	"Sputum"	"Virulent"	1.77612492986426e-121	0.58550861641439
"9"	"Dental plaque"	"Virulent"	3.54645820719675e-70	0.426817174304413
"10"	"Saliva"	"Virulent"	6.90010131997584e-78	0.280868125332003
"11"	"BALF"	"Virulent"	1.13847750440191e-55	0.500570878009044
"12"	"Tongue"	"Virulent"	0	0.460262810276868
"13"	"Oropharynx"	"all"	3.36193313154629e-124	0.491014119491823
"14"	"Sputum"	"all"	3.84943929049347e-257	0.769460738596591
"15"	"Dental plaque"	"all"	1.6110147082592e-222	0.691421300458428
"16"	"Saliva"	"all"	1.74256953288208e-319	0.53936373216913
"17"	"BALF"	"all"	3.11545316009304e-59	0.514524860451346
"18"	"Tongue"	"all"	0	0.592366291414222
