obs	shann
010008-03V3	1246	6.12007003142734
010003-01V1	1063	5.9647959897476
010009O2V2	399	3.49145163156661
010009O2V1	645	3.45031955261677
010008	1376	5.85331774151602
010001O1V2	697	5.07125653470642
010008-03V1	1091	3.44824239196152
010009O3V3	468	5.1168922778516
010013O2V3	960	5.41232869310276
010002O2V3	814	5.62630564526189
010013O1V3	1196	5.67636954953982
010013O3V2	964	5.61198346847361
010018O2V2	454	5.09370068288957
010006	1132	6.06781483954258
010009	1197	5.86993646207394
010018O2V3	854	5.44449853991682
010001O1V3	806	5.07846148196996
010018O1V3	768	5.40179512054553
010009O3V1	963	5.86083852342782
010022-01V2	1421	6.21442636528602
010007-01V1	806	5.12521281163639
010021O1V3	632	5.25590162051069
010021	1069	5.74348076628692
010019-01V2	1507	6.16052797037468
010013O2V2	1024	5.73280548717627
010015	1156	5.59425809664047
010028O2V3	1254	5.19628176990578
010018O1V2	596	5.0122647866357
010013O3V3	1008	5.4686674821304
010022O2V2	777	5.22894600170457
010007	1469	6.24397578919623
01003-01V2	749	4.93658306509664
010013O1V2	961	5.47282423627345
010027	1160	5.81490950552962
010041O1V2	1026	5.80458576157464
010041O1V1	1006	6.03291764849711
010019-01V3	1784	6.48384135420665
010033	1568	5.72335710920169
010026O1V3	736	5.12318088558266
010041O1V3	932	5.80572093671625
010039	1329	5.43392796985757
010002	1455	6.21450530323178
010026O1V2	806	5.16781805623626
010020-01V3	1184	5.84882067495687
010042O1V1	1348	6.26949572794936
010028O2V1	198	3.41719051584599
010001	1320	6.00694201258271
010022	1437	6.01122524981454
010022-01V3	1447	6.08411792306234
010026	1029	5.85618430590576
010042O1V2	1048	5.48107043078691
010045-01V1	2049	6.26553280790557
010014	1214	5.54662244427787
010004	1556	6.24643158573648
010044-01V3	1060	5.79934572288285
010047O3V2	698	5.53578366336258
010028	1224	5.75553316003941
010018	1195	5.82172340906023
010036	1346	5.68626433247597
010008O1V3	763	5.84167637533575
010016	923	5.62367837063744
010042	982	5.79730597520024
010045-V3	1741	6.16342627689386
010048O1V2	416	4.72078935727836
010002O2V2	841	5.74905665852029
010020	827	5.43020402285451
010047O2V3	1046	5.75600846181372
010019-01V1	1506	6.25440419438262
010045-V2	1803	6.15406138211332
010013	1222	6.06540635361606
