"Row.names"	"shann"	"NCBI_BioProject_ID"
"1"	"010001"	5.23072718825199	"BWPR (this study)"
"2"	"010001O1V2"	4.28987865941506	"BWPR (this study)"
"3"	"010001O1V3"	4.68349378329098	"BWPR (this study)"
"4"	"010002"	4.88117108235207	"BWPR (this study)"
"5"	"010002O2V2"	4.24160925542209	"BWPR (this study)"
"6"	"010002O2V3"	4.2142092870001	"BWPR (this study)"
"7"	"010003"	5.08701410115944	"BWPR (this study)"
"8"	"010003-01V1"	4.73813319265973	"BWPR (this study)"
"9"	"010003-01V3"	5.00650135192729	"BWPR (this study)"
"10"	"010004"	4.88938327298081	"BWPR (this study)"
"11"	"010006"	4.59955469735547	"BWPR (this study)"
"12"	"010007"	4.77090083198459	"BWPR (this study)"
"13"	"010007-01V1"	4.28732968907655	"BWPR (this study)"
"14"	"010007-01V3"	4.46064227562248	"BWPR (this study)"
"15"	"010008"	5.02635932558968	"BWPR (this study)"
"16"	"010008-03V1"	4.57021845575501	"BWPR (this study)"
"17"	"010008-03V3"	4.91059203914371	"BWPR (this study)"
"18"	"010008O1V2"	4.06130622566906	"BWPR (this study)"
"19"	"010008O1V3"	4.3032083882508	"BWPR (this study)"
"20"	"010009"	4.41008861062221	"BWPR (this study)"
"21"	"010009O2V1"	3.90771555922533	"BWPR (this study)"
"22"	"010009O2V2"	3.59119540225138	"BWPR (this study)"
"23"	"010009O3V1"	4.56804462432706	"BWPR (this study)"
"24"	"010009O3V3"	3.43190687024821	"BWPR (this study)"
"25"	"010012"	4.11307112974514	"BWPR (this study)"
"26"	"010013"	5.0030563886041	"BWPR (this study)"
"27"	"010013O1V2"	4.80762758668757	"BWPR (this study)"
"28"	"010013O1V3"	5.31698849021941	"BWPR (this study)"
"29"	"010013O2V2"	4.58197852369215	"BWPR (this study)"
"30"	"010013O2V3"	5.61982478400506	"BWPR (this study)"
"31"	"010013O3V2"	5.00140482378766	"BWPR (this study)"
"32"	"010013O3V3"	4.94865122383273	"BWPR (this study)"
"33"	"010014"	3.85132587053749	"BWPR (this study)"
"34"	"010015"	3.82046428339022	"BWPR (this study)"
"35"	"010016"	4.87489644406917	"BWPR (this study)"
"36"	"010018"	4.52704794609883	"BWPR (this study)"
"37"	"010018O1V2"	4.05989086078847	"BWPR (this study)"
"38"	"010018O1V3"	4.72927380814468	"BWPR (this study)"
"39"	"010018O2V2"	4.34255627315176	"BWPR (this study)"
"40"	"010018O2V3"	5.0595572909872	"BWPR (this study)"
"41"	"010019"	4.48763346472814	"BWPR (this study)"
"42"	"010019-01V1"	5.21564981217487	"BWPR (this study)"
"43"	"010019-01V2"	5.10688062181656	"BWPR (this study)"
"44"	"010019-01V3"	5.55127874551666	"BWPR (this study)"
"45"	"010020"	4.30960005557865	"BWPR (this study)"
"46"	"010020-01V1"	5.15306441511459	"BWPR (this study)"
"47"	"010020-01V2"	5.06356275352659	"BWPR (this study)"
"48"	"010020-01V3"	5.19395964427594	"BWPR (this study)"
"49"	"010021"	5.21889844674928	"BWPR (this study)"
"50"	"010021O1V3"	4.66425434504832	"BWPR (this study)"
"51"	"010022"	4.47083480785505	"BWPR (this study)"
"52"	"010022-01V2"	5.28343201040729	"BWPR (this study)"
"53"	"010022-01V3"	4.34693428652775	"BWPR (this study)"
"54"	"010022O2V2"	3.88463838356476	"BWPR (this study)"
"55"	"010026"	4.02201267487362	"BWPR (this study)"
"56"	"010026O1V2"	3.28114346046352	"BWPR (this study)"
"57"	"010026O1V3"	3.45334065317338	"BWPR (this study)"
"58"	"010027"	5.05568390887972	"BWPR (this study)"
"59"	"010028"	4.72036526958182	"BWPR (this study)"
"60"	"010028O2V1"	5.04232834620502	"BWPR (this study)"
"61"	"010028O2V3"	5.35414024963239	"BWPR (this study)"
"62"	"010029"	4.13969745537053	"BWPR (this study)"
"63"	"01003-01V2"	4.90380648920286	"BWPR (this study)"
"64"	"010033"	4.84561394439117	"BWPR (this study)"
"65"	"010035"	4.04461814942282	"BWPR (this study)"
"66"	"010036"	4.30334593818878	"BWPR (this study)"
"67"	"010038"	4.32238431870965	"BWPR (this study)"
"68"	"010039"	5.04868808077183	"BWPR (this study)"
"69"	"010041"	4.28011243717755	"BWPR (this study)"
"70"	"010041O1V1"	5.11185704933276	"BWPR (this study)"
"71"	"010041O1V2"	4.53103695967605	"BWPR (this study)"
"72"	"010041O1V3"	4.91602056684798	"BWPR (this study)"
"73"	"010042"	4.85613995066451	"BWPR (this study)"
"74"	"010042O1V1"	5.30560993031949	"BWPR (this study)"
"75"	"010042O1V2"	4.23426982607875	"BWPR (this study)"
"76"	"010044-01V3"	5.13369075655848	"BWPR (this study)"
"77"	"010045"	4.7650691323989	"BWPR (this study)"
"78"	"010045-01V1"	5.29676497323739	"BWPR (this study)"
"79"	"010045-V2"	5.28827810815044	"BWPR (this study)"
"80"	"010045-V3"	5.3614434696988	"BWPR (this study)"
"81"	"010046"	4.63802649593713	"BWPR (this study)"
"82"	"010047"	5.12128678660441	"BWPR (this study)"
"83"	"010047O2V2"	4.34971251813517	"BWPR (this study)"
"84"	"010047O2V3"	5.00111441332041	"BWPR (this study)"
"85"	"010047O3V2"	4.92352274197199	"BWPR (this study)"
"86"	"010047O4V2"	4.23716208243282	"BWPR (this study)"
"87"	"010047O5V2"	4.5906006789286	"BWPR (this study)"
"88"	"010047O5V3"	4.23450724563331	"BWPR (this study)"
"89"	"010048"	4.81166684293931	"BWPR (this study)"
"90"	"010048O1V2"	3.72142538300694	"BWPR (this study)"
"91"	"010048O1V3"	3.58965077834478	"BWPR (this study)"
"92"	"010048O2V1"	5.09700427169038	"BWPR (this study)"
"93"	"010049"	4.6006986524411	"BWPR (this study)"
"94"	"010049O1V2"	4.75457959070402	"BWPR (this study)"
"95"	"010050"	5.12921114359686	"BWPR (this study)"
"96"	"010050O1V1"	5.38365142269005	"BWPR (this study)"
"97"	"010050O1V2"	4.56612702345914	"BWPR (this study)"
"98"	"010050O1V3"	4.8668688846602	"BWPR (this study)"
"99"	"010051"	4.79727588215093	"BWPR (this study)"
"100"	"010051O1V2"	4.40347571137182	"BWPR (this study)"
"101"	"010051O1V3"	4.1208736108478	"BWPR (this study)"
"102"	"010052"	4.71744600513534	"BWPR (this study)"
"103"	"010052O1V1"	2.99802822319153	"BWPR (this study)"
"104"	"010053"	4.583238358712	"BWPR (this study)"
"105"	"010053-01V1"	4.51523143002166	"BWPR (this study)"
"106"	"010053-01V2"	4.23667160836769	"BWPR (this study)"
"107"	"010053-01V3"	4.49583664584253	"BWPR (this study)"
"108"	"010054"	5.19630704978371	"BWPR (this study)"
"109"	"010054O1V2"	4.10765219833574	"BWPR (this study)"
"110"	"010054O1V3"	4.72707660142211	"BWPR (this study)"
"111"	"010056"	4.75494547793586	"BWPR (this study)"
"112"	"010057"	4.71369096695316	"BWPR (this study)"
"113"	"010057-01V1"	5.06782050852004	"BWPR (this study)"
"114"	"010057-01V2"	5.46043708608221	"BWPR (this study)"
"115"	"010057-01V3"	5.05965275758409	"BWPR (this study)"
"116"	"010058"	4.88788861608551	"BWPR (this study)"
"117"	"010059"	3.51298834692978	"BWPR (this study)"
"118"	"010060"	4.82661754744888	"BWPR (this study)"
"119"	"010062"	4.87229058972688	"BWPR (this study)"
"120"	"010065"	3.96501889433797	"BWPR (this study)"
"121"	"010065O1V2"	4.4396254468953	"BWPR (this study)"
"122"	"010065O1V3"	3.92193615929789	"BWPR (this study)"
"123"	"010065O3V2"	3.91135522967951	"BWPR (this study)"
"124"	"010065O3V3"	4.8799529683661	"BWPR (this study)"
"125"	"010065O5V2"	4.52580221394129	"BWPR (this study)"
"126"	"010065O5V3"	4.70034180530501	"BWPR (this study)"
"127"	"010065O7V2"	3.74638820700954	"BWPR (this study)"
"128"	"010065O7V3"	4.24746988872207	"BWPR (this study)"
"129"	"010066"	4.75205164302462	"BWPR (this study)"
"130"	"010067"	5.10796705093469	"BWPR (this study)"
"131"	"010069"	4.85203634954454	"BWPR (this study)"
"132"	"01007-01V2"	4.92477138923885	"BWPR (this study)"
"133"	"010071"	5.30913727523837	"BWPR (this study)"
"134"	"010071-01V3"	5.53680592932273	"BWPR (this study)"
"135"	"010071-V1"	4.99923061551145	"BWPR (this study)"
"136"	"010071-V2"	5.08216808428345	"BWPR (this study)"
"137"	"010072O0B0"	5.3657404143075	"BWPR (this study)"
"138"	"010073"	5.28700563956101	"BWPR (this study)"
"139"	"010073O1V1"	4.90893914761596	"BWPR (this study)"
"140"	"010073O1V2"	4.67757821308865	"BWPR (this study)"
"141"	"010073O1V3"	5.39519037015365	"BWPR (this study)"
"142"	"010075"	4.37927043788275	"BWPR (this study)"
"143"	"010076"	5.36804120207871	"BWPR (this study)"
"144"	"010077"	4.82751146327971	"BWPR (this study)"
"145"	"010078"	4.8124131308997	"BWPR (this study)"
"146"	"010078O1V1"	4.67581829822546	"BWPR (this study)"
"147"	"010079"	5.16349533255739	"BWPR (this study)"
"148"	"01007905V3"	4.49469733418743	"BWPR (this study)"
"149"	"010079O3V2"	4.78305983937594	"BWPR (this study)"
"150"	"010079O4V3"	3.75464586542322	"BWPR (this study)"
