"Row.names"	"obs"	"shann"	"Sample_site"	"BioProject_ID"	"DataType"	"x"	"No.pro"	"No.site"	"lifestyle"
"1"	"010001"	732	3.12512271835115	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"2"	"010001O1V2"	379	2.63420115371194	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"3"	"010001O1V3"	424	2.2987880719131	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"4"	"010002"	713	2.54427192276379	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"5"	"010002O2V2"	400	2.85803371928871	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"6"	"010002O2V3"	436	3.49545020521773	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"7"	"010003"	486	1.40196151848819	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"8"	"010003-01V1"	758	4.45010665418094	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"9"	"010003-01V3"	673	2.46824708453624	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"10"	"010004"	920	3.4553707149678	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"11"	"010006"	601	2.8903300919114	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"12"	"010007"	726	2.67058109296865	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"13"	"010007-01V1"	609	3.77095269730666	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"14"	"010007-01V3"	645	3.05524055577852	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"15"	"010008"	703	2.73494302708899	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"16"	"010008-03V1"	687	2.48347035182092	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"17"	"010008-03V3"	744	3.5278071831818	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"18"	"010008O1V2"	314	3.73171107159032	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"19"	"010008O1V3"	404	3.2357149703746	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"20"	"010009"	687	3.45353971677079	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"21"	"010009O2V1"	395	2.23005694417302	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"22"	"010009O2V2"	289	2.44033655797135	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"23"	"010009O3V1"	623	3.9789670987511	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"24"	"010009O3V3"	335	3.922234966109	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"25"	"010012"	662	2.41201852166127	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
"26"	"010013"	542	2.53093569437291	"Oropharynx"	"BWPR (this study)"	"Bulk metagenome"	"BWPR (this study).Oropharynx"	1833	3365	"Temperate"
