,010008-03V3,010009O2V2,010009O2V1,010003-01V1,010001O1V2,010008,010009O3V3,010013O2V3,010008-03V1,010013O1V3
010008-03V3,0,0.919391967406552,0.923952130598201,0.872979091220201,0.854959959636916,0.82551755900716,0.830700701799558,0.926513557159472,0.931252428917513,0.935427428533336
010009O2V2,0.919391967406552,0,0.421608213341594,0.959286040433138,0.960641228286894,0.947448662700581,0.781539641091341,0.971409653736348,0.976847105315418,0.980257207754424
010009O2V1,0.923952130598201,0.421608213341594,0,0.965269085781951,0.948243219498624,0.941720192552753,0.817176714505437,0.962133051539442,0.964024220290689,0.974111213349169
010003-01V1,0.872979091220201,0.959286040433138,0.965269085781951,0,0.958567344775467,0.923590918178776,0.875105201627112,0.960450265500843,0.95751522541614,0.966777704628684
010001O1V2,0.854959959636916,0.960641228286894,0.948243219498624,0.958567344775467,0,0.899108898942176,0.833047242020917,0.932598731270608,0.971957619551037,0.893910700534681
010008,0.82551755900716,0.947448662700581,0.941720192552753,0.923590918178776,0.899108898942176,0,0.921867727808978,0.933727441670496,0.762910694113052,0.928016819133843
010009O3V3,0.830700701799558,0.781539641091341,0.817176714505437,0.875105201627112,0.833047242020917,0.921867727808978,0,0.942579205940406,0.95717250038334,0.927649438048173
010013O2V3,0.926513557159472,0.971409653736348,0.962133051539442,0.960450265500843,0.932598731270608,0.933727441670496,0.942579205940406,0,0.979909399519405,0.81684074960483
010008-03V1,0.931252428917513,0.976847105315418,0.964024220290689,0.95751522541614,0.971957619551037,0.762910694113052,0.95717250038334,0.979909399519405,0,0.988416025584077
010013O1V3,0.935427428533336,0.980257207754424,0.974111213349169,0.966777704628684,0.893910700534681,0.928016819133843,0.927649438048173,0.81684074960483,0.988416025584077,0
