,010008-03V3,010009O2V2,010009O2V1,010003-01V1,010001O1V2,010008,010009O3V3,010013O2V3,010008-03V1,010013O1V3
V052479,3.63500513682638,0,0,0,0,0,0,0.0736894992463574,0,0.0158212202116088
V062997,1.94639021201083,0.366032210834553,0.171960174023696,0.314010659835558,0.0657462195923734,0.222965440356745,0.316158672133577,0,0.0252771873384271,0
V066123,1.86980480059774,0.0402635431918009,0.187436589685829,0,3.08780520982112,0.00848238088313703,0.108679543545917,0.0368447496231787,0,0.124592109166419
V052480,1.79882319977585,0,0,0,0,0.00727061218554602,0,0,0.0620440052852301,0
V060156,1.76706827309237,0,0,0,0.448887982044481,0.150259318501284,0,0.0401942723161949,0,0.0791061010580441
V065008,1.68301111422434,0.0951683748169839,0.201193403607724,0,2.92910743839126,0,0.17289927382305,0.0217718975046056,0,0.122614456639968
V052112,1.39348090034557,0,0,0,0,0,0,0,0,0
V062287,1.26646119361166,0.0951683748169839,0.0619056626485306,0.14254431268851,0,0.0472589792060491,0.0642197302771328,0,0.00861722295628196,0
V052107,1.21229102456337,0,0,0,0,0,0,0,0,0
V060986,1.19361165592603,0.571010248901903,0.261379464516018,0.214849398834855,0.0249382212246934,0.163588774174786,0.281578817368967,0,0.033894410294709,0
