contigid	V1	V2	cluster	ps	phylum	class	order	family	genus
OAPGCV000001	OAPGCV054939_6	OAPGCV000001_65	PC_326760	PC_326760	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000001	OAPGCV045317_43	OAPGCV000001_12	PC_284333	PC_284333	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000001	OAPGCV000001_67	OAPGCV000001_67	PC_51	PC_51	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000002	OAPGCV027859_56	OAPGCV000002_58	PC_165938	PC_165938	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000002	OAPGCV042505_37	OAPGCV000002_53	PC_272219	PC_272219	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000002	OAPGCV000002_54	OAPGCV000002_54	PC_76	PC_76	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000003	OAPGCV059127_6	OAPGCV000003_1	PC_353894	PC_353894	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000004	OAPGCV000004_44	OAPGCV000004_44	PC_111	PC_111	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000004	OAPGCV000004_3	OAPGCV000004_3	PC_101	PC_101	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000005	OAPGCV000005_38	OAPGCV000005_38	PC_146	PC_146	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000005	OAPGCV000005_72	OAPGCV000005_72	PC_172	PC_172	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000006	OAPGCV000006_57	OAPGCV000006_57	PC_226	PC_226	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000007	OAPGCV061998_3	OAPGCV000007_22	PC_366930	PC_366930	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000008	OAPGCV000008_36	OAPGCV000008_36	PC_258	PC_258	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000008	OAPGCV015222_9	OAPGCV000008_65	PC_119857	PC_119857	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000008	OAPGCV000008_64	OAPGCV000008_64	PC_273	PC_273	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000008	OAPGCV065436_34	OAPGCV000008_50	PC_383745	PC_383745	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000009	OAPGCV047177_4	OAPGCV000009_52	PC_293712	PC_293712	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000010	OAPGCV012777_26	OAPGCV000010_68	PC_108553	PC_108553	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000011	OAPGCV000011_32	OAPGCV000011_32	PC_364	PC_364	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
