DATASET_SIMPLEBAR

SEPARATOR	TAB

DATASET_LABEL	viral genome size

COLOR	#a5d733
WIDTH	200
MARGIN	25
HEIGHT_FACTOR	1.8
SHOW_VALUE	0

DATASET_SCALE	0-0-#000000-1-0-22	100000-100k-#000000-1-0-22	200000-200K-#000000-1-0-22

DATA
OAPGCV000989	82885.55172
OAPGCV064568	63549.56037
OAPGCV045081	47264.97468
OAPGCV027347	43989.07407
OAPGCV064282	72092.66667
OAPGCV039639	43036.58904
OAPGCV062585	38949.62581
OAPGCV042661	60231.42021
OAPGCV061745	39977.91633
OAPGCV007447	47328.14171
OAPGCV055169	52244.72727
OAPGCV037908	47682
OAPGCV061185	64311.6
OAPGCV044902	46202.85
OAPGCV045797	41826.65753
OAPGCV045182	50915
OAPGCV031500	44583
OAPGCV067966	40409
OAPGCV067939	41494
OAPGCV037198	41933
OAPGCV044908	39012.14917
OAPGCV060156	39192.82342
OAPGCV059107	38826.5
OAPGCV017814	37089.45455
OAPGCV000364	57208
OAPGCV061254	38217
OAPGCV041227	40285.62
OAPGCV062394	38566.5
OAPGCV059039	38089
OAPGCV058978	42737
OAPGCV044979	33415
OAPGCV029562	36442
OAPGCV037051	37877
OAPGCV055728	45287.50459
OAPGCV036909	48118.44118
OAPGCV030131	36515.78571
OAPGCV049270	41112
OAPGCV050782	42297.66667
OAPGCV057333	40925.5
OAPGCV062398	42703
OAPGCV028872	39356
OAPGCV033182	56970
OAPGCV032027	57184
OAPGCV031125	60271
OAPGCV040350	45059
OAPGCV058096	13629.64706
OAPGCV059984	42047.5
OAPGCV045935	46172
OAPGCV029525	46501.33333
OAPGCV031825	44573
OAPGCV031679	49596.71429
OAPGCV032829	51386.7
OAPGCV019185	43719.8301
OAPGCV002351	43531.3779
OAPGCV045714	46969.4
OAPGCV030396	69252.86667
OAPGCV053455	40607.97273
OAPGCV037298	51903.16667
OAPGCV017785	43224
OAPGCV045529	45430.06271
OAPGCV045065	41123.08696
OAPGCV044960	53107.47368
OAPGCV058943	48266.28571
OAPGCV048734	49445.66667
OAPGCV061873	40584.5
OAPGCV031105	44861
OAPGCV029980	45479.25
OAPGCV045544	39610
OAPGCV029888	40787.55556
OAPGCV045675	51383
OAPGCV049211	43186
OAPGCV015180	46651
OAPGCV067972	52154
OAPGCV062379	48782
OAPGCV031927	58624.6
OAPGCV037991	41004.88235
OAPGCV058301	50852.1875
OAPGCV044963	46367
OAPGCV031765	41926
OAPGCV067993	63799
OAPGCV031001	49347
OAPGCV055405	63112
OAPGCV045938	54335
OAPGCV063165	61266
OAPGCV039311	51052.66667
OAPGCV045325	49518.16667
OAPGCV067967	42096
OAPGCV045329	68001
OAPGCV032049	42689
OAPGCV030185	39918.8
OAPGCV048516	75069
OAPGCV048730	86477
OAPGCV033729	59109.7218
OAPGCV068396	55612.84615
OAPGCV058611	68275
OAPGCV067964	50577.5
OAPGCV004489	38143.10274
OAPGCV047667	48149.26316
OAPGCV024022	57815.11972
OAPGCV058902	110420.5
OAPGCV029375	40596.41111
OAPGCV062404	19616
OAPGCV012702	17950.57864
OAPGCV013362	223772.6667
OAPGCV031652	153045.2041
OAPGCV022650	172649.088
OAPGCV056837	216476.5
OAPGCV047693	163864.2381
OAPGCV068276	13252.51429
OAPGCV018877	11358.18182
OAPGCV005142	92977.92593
OAPGCV004837	181886.0571
OAPGCV034700	183377.5556
OAPGCV048500	140642.4655
OAPGCV025828	31487.33333
OAPGCV047982	39960.33333
OAPGCV062941	62463
OAPGCV003420	121632.5667
OAPGCV058566	117830.5211
OAPGCV030460	136134
OAPGCV032461	158270
OAPGCV030549	159260
OAPGCV058407	93318.375
OAPGCV002402	305147.25
OAPGCV027839	203502.9178
OAPGCV009744	145665
OAPGCV011521	228368.198
OAPGCV044856	222254
OAPGCV055748	95480.15789
OAPGCV023746	107821.2308
OAPGCV004631	129850
OAPGCV018377	153463.4706
OAPGCV063153	49163
OAPGCV061275	53948
OAPGCV031560	63645.5
OAPGCV058065	15391.49722
OAPGCV016255	30522.70221
OAPGCV009634	27683
OAPGCV062503	27907.19305
OAPGCV013575	41598.63043
OAPGCV006811	31179.32283
OAPGCV064156	32349.25
OAPGCV058739	39372
OAPGCV031397	50444.1746
OAPGCV032530	50488
OAPGCV057430	34751
OAPGCV062446	40372
OAPGCV066442	41659.25
OAPGCV013752	50734.86792
OAPGCV016201	40062.29231
OAPGCV048390	38738
OAPGCV058264	34821.5
OAPGCV058467	39689.42857
OAPGCV059510	50086.29412
OAPGCV057522	47559.72034
OAPGCV026892	53298
OAPGCV003504	48153.85765
OAPGCV025479	53123.86251
OAPGCV067995	38770
OAPGCV064992	41770.10811
OAPGCV024176	36439.38077
OAPGCV016206	36750.26087
OAPGCV011376	31892.88737
OAPGCV017566	34362.16627
OAPGCV045460	36802.10857
OAPGCV007582	49316.99041
OAPGCV058286	60316
OAPGCV050213	44593.74706
OAPGCV000006	42255.88235
OAPGCV020718	34012.50575
OAPGCV068337	45957.66667
OAPGCV058238	36708.75
OAPGCV018929	38855.44444
OAPGCV065017	35361.73871
OAPGCV033854	42047.01724
OAPGCV042770	41473
OAPGCV033773	40312
OAPGCV055135	39641.82392
OAPGCV049775	35387.96114
OAPGCV015560	39378.625
OAPGCV044970	37964.41379
OAPGCV058709	37149.75
OAPGCV058442	28078.90909
OAPGCV050471	50525.76293
OAPGCV065648	34060.57143
OAPGCV054904	39673.5
OAPGCV006036	37962.14286
OAPGCV050530	35450.66667
OAPGCV007298	41617.82857
OAPGCV032025	30942
OAPGCV027397	66478.51351
OAPGCV007662	58973.62098
OAPGCV013350	35799.66667
OAPGCV032371	242688
OAPGCV006559	49937.97727
OAPGCV014404	49925.93333
OAPGCV009626	34188.18947
OAPGCV002564	31502.79583
OAPGCV067987	33524.50628
OAPGCV025780	34060.76923
OAPGCV026001	29309.41436
OAPGCV012121	33657.25271
OAPGCV034262	35142.29474
OAPGCV042722	35624.95238
OAPGCV041683	33385.22785
OAPGCV036044	29316.66667
OAPGCV046398	35293.07609
OAPGCV063933	38616.76
OAPGCV036774	35042
OAPGCV037310	70944
OAPGCV066438	27847.26891
OAPGCV064508	69312.53846
OAPGCV020751	110557
OAPGCV001497	37234.33333
OAPGCV028677	38147.47826
OAPGCV026415	29425.17
OAPGCV006677	52651.13766
OAPGCV027745	45590.66667
OAPGCV061920	46134
OAPGCV006108	78144.85366
OAPGCV063154	55531
OAPGCV062718	135645.75
